win;wins
good;goods
victim;victims
heavy;heavys
possible;possibles
help;helps
suffer;suffers
hit;hits
think;thinks
machine;machines
can;cans
strong;strongs
mouth;mouths
must;musts
law;laws
difference;differences
return;returns
base;bases
read;reads
recognize;recognizes
how;hows
hundred;hundreds
present;presents
himself;himselfs
fine;fines
street;streets
argue;argues
decide;decides
window;windows
degree;degrees
safe;safes
sense;senses
wall;walls
not;nots
hang;hangs
couple;couples
some;somes
development;developments
consider;considers
pain;pains
director;directors
heart;hearts
home;homes
hair;hairs
training;trainings
officer;officers
south;souths
word;words
best;bests
onto;ontos
south;souths
she;shes
push;pushs
note;notes
important;importants
eight;eights
easy;easys
create;creates
appear;appears
wish;wishs
house;houses
go;gos
coach;coachs
capital;capitals
hospital;hospitals
possible;possibles
student;students
interview;interviews
accept;accepts
cultural;culturals
radio;radios
candidate;candidates
unit;units
lot;lots
both;boths
skill;skills
Republican;Republicans
when;whens
send;sends
under;unders
Congress;Congresss
fish;fishs
cover;covers
mention;mentions
memory;memorys
door;doors
machine;machines
choice;choices
thousand;thousands
room;rooms
book;books
always;alwayss
matter;matters
wait;waits
wrong;wrongs
great;greats
could;coulds
finally;finallys
color;colors
follow;follows
rest;rests
include;includes
Republican;Republicans
problem;problems
town;towns
white;whites
different;differents
toward;towards
responsibility;responsibilitys
whose;whoses
indicate;indicates
young;youngs
hour;hours
there;theres
eight;eights
should;shoulds
build;builds
soon;soons
including;includings
sign;signs
enough;enoughs
trouble;troubles
my;mys
recently;recentlys
operation;operations
agency;agencys
series;seriess
decision;decisions
only;onlys
between;betweens
send;sends
lawyer;lawyers
key;keys
president;presidents
apply;applys
former;formers
value;values
film;films
live;lives
second;seconds
even;evens
event;events
player;players
too;toos
who;whos
yourself;yourselfs
anyone;anyones
north;norths
check;checks
garden;gardens
into;intos
sex;sexs
election;elections
president;presidents
be;bes
base;bases
really;reallys
figure;figures
business;businesss
serve;serves
garden;gardens
up;ups
try;trys
weight;weights
bank;banks
bag;bags
hour;hours
break;breaks
economy;economys
control;controls
everyone;everyones
Democrat;Democrats
speak;speaks
author;authors
indeed;indeeds
always;alwayss
cultural;culturals
cancer;cancers
any;anys
week;weeks
stop;stops
structure;structures
television;televisions
million;millions
could;coulds
car;cars
different;differents
myself;myselfs
seek;seeks
return;returns
police;polices
media;medias
season;seasons
unit;units
policy;policys
budget;budgets
read;reads
bag;bags
already;alreadys
recently;reently
whether;wheer
blood;blod
pretty;prety
sea;se
fire;ire
wind;ind
cost;cst
writer;writr
without;wthout
color;coor
example;exame
pull;ull
run;ru
community;comunity
show;sho
sort;sor
mean;men
man;mn
subject;subect
budget;budet
process;proces
three;ree
also;lso
perhaps;pehaps
four;fur
more;ore
information;nformation
fact;fct
center;cnter
reason;rason
last;lst
attorney;atorney
popular;popula
teach;tach
indeed;inded
election;electio
suddenly;suddeny
action;ction
three;thre
career;carer
head;ead
shot;sho
page;pae
air;ar
think;thi
late;ate
quickly;uickly
create;eate
seem;see
character;chaacter
n't;nt
determine;dtermine
job;ob
perform;perfor
food;ood
claim;aim
growth;groth
easy;esy
painting;panting
machine;machie
evidence;evdence
kitchen;kiten
law;aw
event;vent
house;hose
station;statin
why;y
lay;ay
event;vent
size;sie
teach;tach
among;mong
happen;hapen
democratic;democraic
