Sessions,Correct,Incorrect,NoResponse
1,0.25,0.35,0.4
2,0.3,0.2,0.5
3,0.15,0.5,0.35
4,0.15,0.1,0.75
5,0.5,0.3,0.2
6,0.25,0.6,0.15
7,0.1,0.4,0.5
8,0.2,0.55,0.25
9,0.4,0.2,0.4
10,0.3,0.5,0.2
11,0.35,0.15,0.5
12,0.45,0.3,0.25
13,0.35,0.4,0.25
14,0.25,0.15,0.6
15,0.55,0.25,0.2
16,0.2,0.25,0.55
17,0.4,0.2,0.4
18,0.2,0.3,0.5
19,0.5,0.15,0.35
20,0.1,0.15,0.75
21,0.3,0.2,0.5
22,0.6,0.15,0.25
23,0.2,0.05,0.75
24,0.54,0.26,0.2
25,0.2,0.4,0.4
26,0.3,0.2,0.5
27,0.15,0.5,0.35
28,0.3,0.25,0.45
29,0.2,0.3,0.5
30,0.15,0.6,0.25
31,0.25,0.2,0.55
32,0.26,0.54,0.2
33,0.25,0.2,0.55
34,0.4,0.4,0.2
35,0.2,0.5,0.3
36,0.5,0.35,0.15
37,0.25,0.45,0.3
38,0.3,0.5,0.2
39,0.6,0.25,0.15
40,0.2,0.55,0.25
41,0.55,0.2,0.25
42,0.4,0.4,0.2
43,0.5,0.2,0.3
44,0.35,0.5,0.15
45,0.75,0.1,0.15
46,0.5,0.3,0.2
47,0.25,0.6,0.15
48,0.9,0.05,0.05
49,0.3,0.6,0.1
50,0.35,0.25,0.4
