ant;and
bear;hear
deer;peer
dog;dig
pig;pip
worm;warm
blue;hue
green;greet
jade;jude
may;say
alto;also
beat;meat
note;wrote
gym;gum
pitch;pinch
jog;job
hot;hog
bad;bag
ribs;cribs
tan;stan
snail;snails
camel;carmel
drink;drinking
day;delay
Friday;fridays
harp;sharp
organ;organs
sing;sting
team;steam
blanket;blankets
sit;spit
light;slight
teal;steal
water;walter
onion;onions
peach;preach
bread;bed
pepper;pep
rice;ice
pink;ink
black;back
brown;brow
month;moth
Monday;day
march;mar
olive;live
gift;git
blues;blue
flat;fat
hoop;hop
hurts;hurt
thirsty;thirst
drum;rum
gold;old
