NumberOfWords;Word;WordSaid;WhereErrorOccurred;TypeOfError;LocationOfError;ExpectedLetterError;SaidLetterError
1;aqua;gqua;Beginning;Substitution;[0];['a'];['g']
2;aqua;uqua;Beginning;Substitution;[0];['a'];['u']
3;aqua;aquas;End;Addition;[4];['_'];['s']
4;[ack;[qck;Middle;Substitution;[1];['a'];['q']
5;[ack;[ock;Middle;Substitution;[1];['a'];['o']
6;[ack;[acks;End;Addition;[4];['_'];['s']
7;>own;>twn;Middle;Substitution;[1];['o'];['t']
8;>own;>uwn;Middle;Substitution;[1];['o'];['u']
9;>own;>owns;End;Addition;[4];['_'];['s']
10;>onze;>knze;Middle;Substitution;[1];['o'];['k']
12;>onze;>onzes;End;Addition;[5];['_'];['s']
13;[ue;[se;Middle;Substitution;[1];['u'];['s']
15;[ue;[ues;End;Addition;[3];['_'];['s']
16;color;nolor;Beginning;Substitution;[0];['c'];['n']
17;color;celor;Middle;Substitution;[1];['o'];['e']
18;color;colors;End;Addition;[5];['_'];['s']
19;?eam;?nam;Middle;Substitution;[1];['e'];['n']
20;?eam;?oam;Middle;Substitution;[1];['e'];['o']
21;?eam;?eams;End;Addition;[4];['_'];['s']
22;dark;sark;Beginning;Substitution;[0];['d'];['s']
23;dark;durk;Middle;Substitution;[1];['a'];['u']
24;dark;darks;End;Addition;[4];['_'];['s']
25;Øeen;Øten;Middle;Substitution;[1];['e'];['t']
26;Øeen;Øaen;Middle;Substitution;[1];['e'];['a']
27;Øeen;Øeens;End;Addition;[4];['_'];['s']
28;Øey;Øuy;Middle;Substitution;[1];['e'];['u']
29;Øey;Øay;Middle;Substitution;[1];['e'];['a']
30;Øey;Øeys;End;Addition;[3];['_'];['s']
31;gold;kold;Beginning;Substitution;[0];['g'];['k']
32;gold;gald;Middle;Substitution;[1];['o'];['a']
33;gold;golds;End;Addition;[4];['_'];['s']
34;indigo;bndigo;Beginning;Substitution;[0];['i'];['b']
35;indigo;andigo;Beginning;Substitution;[0];['i'];['a']
36;indigo;indigos;End;Addition;[6];['_'];['s']
37;jade;tade;Beginning;Substitution;[0];['j'];['t']
38;jade;jide;Middle;Substitution;[1];['a'];['i']
39;jade;jades;End;Addition;[4];['_'];['s']
40;light;cight;Beginning;Substitution;[0];['l'];['c']
42;light;lights;End;Addition;[5];['_'];['s']
43;lilac;bilac;Beginning;Substitution;[0];['l'];['b']
44;lilac;lulac;Middle;Substitution;[1];['i'];['u']
45;lilac;lilacs;End;Addition;[5];['_'];['s']
46;maroon;uaroon;Beginning;Substitution;[0];['m'];['u']
47;maroon;meroon;Middle;Substitution;[1];['a'];['e']
48;maroon;maroons;End;Addition;[6];['_'];['s']
49;navy;davy;Beginning;Substitution;[0];['n'];['d']
50;navy;novy;Middle;Substitution;[1];['a'];['o']
51;navy;navys;End;Addition;[4];['_'];['s']
53;ora%e;ura%e;Beginning;Substitution;[0];['o'];['u']
54;ora%e;ora%es;End;Addition;[5];['_'];['s']
55;olive;vlive;Beginning;Substitution;[0];['o'];['v']
56;olive;alive;Beginning;Substitution;[0];['o'];['a']
57;olive;olives;End;Addition;[5];['_'];['s']
58;pi^;mi^;Beginning;Substitution;[0];['p'];['m']
59;pi^;po^;Middle;Substitution;[1];['i'];['o']
60;pi^;pi^s;End;Addition;[3];['_'];['s']
61;pur<e;dur<e;Beginning;Substitution;[0];['p'];['d']
62;pur<e;pir<e;Middle;Substitution;[1];['u'];['i']
63;pur<e;pur<es;End;Addition;[5];['_'];['s']
64;paßel;jaßel;Beginning;Substitution;[0];['p'];['j']
65;paßel;poßel;Middle;Substitution;[1];['a'];['o']
66;paßel;paßels;End;Addition;[5];['_'];['s']
68;Ùimary;Ùamary;Middle;Substitution;[1];['i'];['a']
69;Ùimary;Ùimarys;End;Addition;[6];['_'];['s']
70;rainbow;oainbow;Beginning;Substitution;[0];['r'];['o']
71;rainbow;reinbow;Middle;Substitution;[1];['a'];['e']
72;rainbow;rainbows;End;Addition;[7];['_'];['s']
73;red;ied;Beginning;Substitution;[0];['r'];['i']
74;red;rad;Middle;Substitution;[1];['e'];['a']
75;red;reds;End;Addition;[3];['_'];['s']
76;silver;iilver;Beginning;Substitution;[0];['s'];['i']
77;silver;salver;Middle;Substitution;[1];['i'];['a']
78;silver;silvers;End;Addition;[6];['_'];['s']
79;@ade;@ede;Middle;Substitution;[1];['a'];['e']
80;@ade;@ode;Middle;Substitution;[1];['a'];['o']
81;@ade;@ades;End;Addition;[4];['_'];['s']
82;tan;gan;Beginning;Substitution;[0];['t'];['g']
83;tan;tin;Middle;Substitution;[1];['a'];['i']
84;tan;tans;End;Addition;[3];['_'];['s']
85;teal;neal;Beginning;Substitution;[0];['t'];['n']
86;teal;taal;Middle;Substitution;[1];['e'];['a']
87;teal;teals;End;Addition;[4];['_'];['s']
88;violet;jiolet;Beginning;Substitution;[0];['v'];['j']
89;violet;vaolet;Middle;Substitution;[1];['i'];['a']
90;violet;violets;End;Addition;[6];['_'];['s']
91;aqua;pqua;Beginning;Substitution;[0];['a'];['p']
92;aqua;equa;Beginning;Substitution;[0];['a'];['e']
93;aqua;aquas;End;Addition;[4];['_'];['s']
94;[ack;[rck;Middle;Substitution;[1];['a'];['r']
95;[ack;[ick;Middle;Substitution;[1];['a'];['i']
96;[ack;[acks;End;Addition;[4];['_'];['s']
97;>own;>bwn;Middle;Substitution;[1];['o'];['b']
98;>own;>iwn;Middle;Substitution;[1];['o'];['i']
99;>own;>owns;End;Addition;[4];['_'];['s']
100;>onze;>fnze;Middle;Substitution;[1];['o'];['f']
102;>onze;>onzes;End;Addition;[5];['_'];['s']
103;[ue;[ie;Middle;Substitution;[1];['u'];['i']
104;[ue;[oe;Middle;Substitution;[1];['u'];['o']
105;[ue;[ues;End;Addition;[3];['_'];['s']
106;color;xolor;Beginning;Substitution;[0];['c'];['x']
107;color;calor;Middle;Substitution;[1];['o'];['a']
108;color;colors;End;Addition;[5];['_'];['s']
109;?eam;?ham;Middle;Substitution;[1];['e'];['h']
110;?eam;?aam;Middle;Substitution;[1];['e'];['a']
111;?eam;?eams;End;Addition;[4];['_'];['s']
112;dark;lark;Beginning;Substitution;[0];['d'];['l']
113;dark;derk;Middle;Substitution;[1];['a'];['e']
114;dark;darks;End;Addition;[4];['_'];['s']
115;Øeen;Øden;Middle;Substitution;[1];['e'];['d']
117;Øeen;Øeens;End;Addition;[4];['_'];['s']
118;Øey;Øuy;Middle;Substitution;[1];['e'];['u']
119;Øey;Øoy;Middle;Substitution;[1];['e'];['o']
120;Øey;Øeys;End;Addition;[3];['_'];['s']
121;gold;told;Beginning;Substitution;[0];['g'];['t']
123;gold;golds;End;Addition;[4];['_'];['s']
124;indigo;fndigo;Beginning;Substitution;[0];['i'];['f']
125;indigo;andigo;Beginning;Substitution;[0];['i'];['a']
126;indigo;indigos;End;Addition;[6];['_'];['s']
127;jade;vade;Beginning;Substitution;[0];['j'];['v']
128;jade;jude;Middle;Substitution;[1];['a'];['u']
129;jade;jades;End;Addition;[4];['_'];['s']
130;light;yight;Beginning;Substitution;[0];['l'];['y']
132;light;lights;End;Addition;[5];['_'];['s']
133;lilac;uilac;Beginning;Substitution;[0];['l'];['u']
134;lilac;lulac;Middle;Substitution;[1];['i'];['u']
135;lilac;lilacs;End;Addition;[5];['_'];['s']
136;maroon;jaroon;Beginning;Substitution;[0];['m'];['j']
137;maroon;meroon;Middle;Substitution;[1];['a'];['e']
138;maroon;maroons;End;Addition;[6];['_'];['s']
139;navy;bavy;Beginning;Substitution;[0];['n'];['b']
140;navy;novy;Middle;Substitution;[1];['a'];['o']
141;navy;navys;End;Addition;[4];['_'];['s']
142;ora%e;rra%e;Beginning;Substitution;[0];['o'];['r']
143;ora%e;ira%e;Beginning;Substitution;[0];['o'];['i']
144;ora%e;ora%es;End;Addition;[5];['_'];['s']
145;olive;elive;Beginning;Substitution;[0];['o'];['e']
146;olive;elive;Beginning;Substitution;[0];['o'];['e']
147;olive;olives;End;Addition;[5];['_'];['s']
148;pi^;yi^;Beginning;Substitution;[0];['p'];['y']
149;pi^;pu^;Middle;Substitution;[1];['i'];['u']
150;pi^;pi^s;End;Addition;[3];['_'];['s']
151;pur<e;gur<e;Beginning;Substitution;[0];['p'];['g']
152;pur<e;pir<e;Middle;Substitution;[1];['u'];['i']
153;pur<e;pur<es;End;Addition;[5];['_'];['s']
154;paßel;zaßel;Beginning;Substitution;[0];['p'];['z']
155;paßel;pißel;Middle;Substitution;[1];['a'];['i']
156;paßel;paßels;End;Addition;[5];['_'];['s']
157;Ùimary;Ùxmary;Middle;Substitution;[1];['i'];['x']
158;Ùimary;Ùamary;Middle;Substitution;[1];['i'];['a']
159;Ùimary;Ùimarys;End;Addition;[6];['_'];['s']
160;rainbow;gainbow;Beginning;Substitution;[0];['r'];['g']
162;rainbow;rainbows;End;Addition;[7];['_'];['s']
163;red;led;Beginning;Substitution;[0];['r'];['l']
164;red;rid;Middle;Substitution;[1];['e'];['i']
165;red;reds;End;Addition;[3];['_'];['s']
166;silver;vilver;Beginning;Substitution;[0];['s'];['v']
167;silver;salver;Middle;Substitution;[1];['i'];['a']
168;silver;silvers;End;Addition;[6];['_'];['s']
169;@ade;@fde;Middle;Substitution;[1];['a'];['f']
170;@ade;@ide;Middle;Substitution;[1];['a'];['i']
171;@ade;@ades;End;Addition;[4];['_'];['s']
172;tan;wan;Beginning;Substitution;[0];['t'];['w']
173;tan;tun;Middle;Substitution;[1];['a'];['u']
174;tan;tans;End;Addition;[3];['_'];['s']
175;teal;jeal;Beginning;Substitution;[0];['t'];['j']
176;teal;tual;Middle;Substitution;[1];['e'];['u']
177;teal;teals;End;Addition;[4];['_'];['s']
178;violet;tiolet;Beginning;Substitution;[0];['v'];['t']
180;violet;violets;End;Addition;[6];['_'];['s']
181;aqua;equa;Beginning;Substitution;[0];['a'];['e']
182;aqua;equa;Beginning;Substitution;[0];['a'];['e']
183;aqua;aquas;End;Addition;[4];['_'];['s']
184;[ack;[uck;Middle;Substitution;[1];['a'];['u']
186;[ack;[acks;End;Addition;[4];['_'];['s']
187;>own;>pwn;Middle;Substitution;[1];['o'];['p']
188;>own;>ewn;Middle;Substitution;[1];['o'];['e']
189;>own;>owns;End;Addition;[4];['_'];['s']
190;>onze;>qnze;Middle;Substitution;[1];['o'];['q']
191;>onze;>unze;Middle;Substitution;[1];['o'];['u']
192;>onze;>onzes;End;Addition;[5];['_'];['s']
193;[ue;[ze;Middle;Substitution;[1];['u'];['z']
194;[ue;[ee;Middle;Substitution;[1];['u'];['e']
195;[ue;[ues;End;Addition;[3];['_'];['s']
196;color;zolor;Beginning;Substitution;[0];['c'];['z']
197;color;celor;Middle;Substitution;[1];['o'];['e']
198;color;colors;End;Addition;[5];['_'];['s']
199;?eam;?zam;Middle;Substitution;[1];['e'];['z']
200;?eam;?uam;Middle;Substitution;[1];['e'];['u']
201;?eam;?eams;End;Addition;[4];['_'];['s']
202;dark;kark;Beginning;Substitution;[0];['d'];['k']
204;dark;darks;End;Addition;[4];['_'];['s']
205;Øeen;Øcen;Middle;Substitution;[1];['e'];['c']
206;Øeen;Øaen;Middle;Substitution;[1];['e'];['a']
207;Øeen;Øeens;End;Addition;[4];['_'];['s']
208;Øey;Øcy;Middle;Substitution;[1];['e'];['c']
209;Øey;Øoy;Middle;Substitution;[1];['e'];['o']
210;Øey;Øeys;End;Addition;[3];['_'];['s']
211;gold;told;Beginning;Substitution;[0];['g'];['t']
