NumberOfWords;Word;WordSaid;WhereErrorOccurred;TypeOfError;LocationOfError;ExpectedLetterError;SaidLetterError
1;laugh;laughs;End;Addition;[5];['_'];['s']
2;star;stars;End;Addition;[3];['_'];['s']
3;major;majors;End;Addition;[5];['_'];['s']
4;toward;towards;End;Addition;[6];['_'];['s']
5;military;militarys;End;Addition;[8];['_'];['s']
6;need;needs;End;Addition;[4];['_'];['s']
7;down;downs;End;Addition;[4];['_'];['s']
8;tree;trees;End;Addition;[3];['_'];['s']
9;million;millions;End;Addition;[7];['_'];['s']
10;miss;misss;End;Addition;[4];['_'];['s']
11;eye;eyes;End;Addition;[3];['_'];['s']
12;these;theses;End;Addition;[4];['_'];['s']
13;small;smalls;End;Addition;[5];['_'];['s']
14;smile;smiles;End;Addition;[5];['_'];['s']
15;control;controls;End;Addition;[6];['_'];['s']
